,Sex,Single Year of Age,Administrative Counties,VALUE
7619,Female,33 years,Dún Laoghaire Rathdown County Council,1581
7620,Female,33 years,Fingal County Council,2439
7621,Female,33 years,South Dublin County Council,2184
7622,Female,33 years,Kildare County Council,1665
7623,Female,33 years,Kilkenny County Council,568
7624,Female,33 years,Laois County Council,583
7625,Female,33 years,Longford County Council,288
7626,Female,33 years,Louth County Council,922
7627,Female,33 years,Meath County Council,1402
7628,Female,33 years,Offaly County Council,490
7629,Female,33 years,Westmeath County Council,607
7630,Female,33 years,Wexford County Council,1009
7631,Female,33 years,Wicklow County Council,943
7632,Female,33 years,Clare County Council,695
7633,Female,33 years,Cork City Council,1705
7634,Female,33 years,Cork County Council,2023
7635,Female,33 years,Kerry County Council,919
7636,Female,33 years,Limerick City & County Council,1313
7637,Female,33 years,Tipperary County Council,945
7638,Female,33 years,Waterford City & County Council,776
7639,Female,33 years,Galway City Council,628
7640,Female,33 years,Galway County Council,1100
7641,Female,33 years,Leitrim County Council,206
7642,Female,33 years,Mayo  County Council,758
7643,Female,33 years,Roscommon County Council,373
7644,Female,33 years,Sligo County Council,432
7645,Female,33 years,Cavan County Council,489
7646,Female,33 years,Donegal County Council,961
7647,Female,33 years,Monaghan County Council,401
7648,Female,34 years,Ireland,36284
7649,Female,34 years,Carlow County Council,414
7650,Female,34 years,Dublin City Council,5545
7651,Female,34 years,Dún Laoghaire Rathdown County Council,1556
7652,Female,34 years,Fingal County Council,2599
7653,Female,34 years,South Dublin County Council,2330
7654,Female,34 years,Kildare County Council,1780
7655,Female,34 years,Kilkenny County Council,636
7656,Female,34 years,Laois County Council,631
7657,Female,34 years,Longford County Council,337
7658,Female,34 years,Louth County Council,941
7659,Female,34 years,Meath County Council,1556
7660,Female,34 years,Offaly County Council,532
7661,Female,34 years,Westmeath County Council,663
7662,Female,34 years,Wexford County Council,1058
7663,Female,34 years,Wicklow County Council,981
7664,Female,34 years,Clare County Council,741
7665,Female,34 years,Cork City Council,1774
7666,Female,34 years,Cork County Council,2216
7667,Female,34 years,Kerry County Council,907
7668,Female,34 years,Limerick City & County Council,1424
7669,Female,34 years,Tipperary County Council,1024
7670,Female,34 years,Waterford City & County Council,846
7671,Female,34 years,Galway City Council,721
7672,Female,34 years,Galway County Council,1177
7673,Female,34 years,Leitrim County Council,217
7674,Female,34 years,Mayo  County Council,856
7675,Female,34 years,Roscommon County Council,399
7676,Female,34 years,Sligo County Council,416
7677,Female,34 years,Cavan County Council,513
7678,Female,34 years,Donegal County Council,1077
7679,Female,34 years,Monaghan County Council,417
7680,Female,35 years,Ireland,37940
7681,Female,35 years,Carlow County Council,446
7682,Female,35 years,Dublin City Council,5444
7683,Female,35 years,Dún Laoghaire Rathdown County Council,1548
7684,Female,35 years,Fingal County Council,2691
7685,Female,35 years,South Dublin County Council,2409
7686,Female,35 years,Kildare County Council,1864
7687,Female,35 years,Kilkenny County Council,741
7688,Female,35 years,Laois County Council,698
7689,Female,35 years,Longford County Council,317
7690,Female,35 years,Louth County Council,1044
7691,Female,35 years,Meath County Council,1652
7692,Female,35 years,Offaly County Council,528
7693,Female,35 years,Westmeath County Council,731
7694,Female,35 years,Wexford County Council,1152
7695,Female,35 years,Wicklow County Council,1060
7696,Female,35 years,Clare County Council,787
7697,Female,35 years,Cork City Council,1780
7698,Female,35 years,Cork County Council,2430
7699,Female,35 years,Kerry County Council,1002
7700,Female,35 years,Limerick City & County Council,1468
7701,Female,35 years,Tipperary County Council,1175
7702,Female,35 years,Waterford City & County Council,938
7703,Female,35 years,Galway City Council,667
7704,Female,35 years,Galway County Council,1292
7705,Female,35 years,Leitrim County Council,227
7706,Female,35 years,Mayo  County Council,871
7707,Female,35 years,Roscommon County Council,476
7708,Female,35 years,Sligo County Council,441
7709,Female,35 years,Cavan County Council,560
7710,Female,35 years,Donegal County Council,1057
7711,Female,35 years,Monaghan County Council,444
7712,Female,36 years,Ireland,39030
7713,Female,36 years,Carlow County Council,438
7714,Female,36 years,Dublin City Council,5218
7715,Female,36 years,Dún Laoghaire Rathdown County Council,1677
7716,Female,36 years,Fingal County Council,2843
7717,Female,36 years,South Dublin County Council,2539
7718,Female,36 years,Kildare County Council,2015
7719,Female,36 years,Kilkenny County Council,717
7720,Female,36 years,Laois County Council,717
7721,Female,36 years,Longford County Council,347
7722,Female,36 years,Louth County Council,1034
7723,Female,36 years,Meath County Council,1723
7724,Female,36 years,Offaly County Council,581
7725,Female,36 years,Westmeath County Council,780
7726,Female,36 years,Wexford County Council,1122
7727,Female,36 years,Wicklow County Council,1153
7728,Female,36 years,Clare County Council,828
7729,Female,36 years,Cork City Council,1760
7730,Female,36 years,Cork County Council,2584
7731,Female,36 years,Kerry County Council,1032
7732,Female,36 years,Limerick City & County Council,1593
7733,Female,36 years,Tipperary County Council,1135
7734,Female,36 years,Waterford City & County Council,905
7735,Female,36 years,Galway City Council,707
7736,Female,36 years,Galway County Council,1301
7737,Female,36 years,Leitrim County Council,240
7738,Female,36 years,Mayo  County Council,909
7739,Female,36 years,Roscommon County Council,459
7740,Female,36 years,Sligo County Council,491
7741,Female,36 years,Cavan County Council,602
7742,Female,36 years,Donegal County Council,1107
7743,Female,36 years,Monaghan County Council,473
7744,Female,37 years,Ireland,39193
7745,Female,37 years,Carlow County Council,457
7746,Female,37 years,Dublin City Council,4902
7747,Female,37 years,Dún Laoghaire Rathdown County Council,1694
7748,Female,37 years,Fingal County Council,2808
7749,Female,37 years,South Dublin County Council,2541
7750,Female,37 years,Kildare County Council,2009
7751,Female,37 years,Kilkenny County Council,708
7752,Female,37 years,Laois County Council,737
7753,Female,37 years,Longford County Council,345
7754,Female,37 years,Louth County Council,1044
7755,Female,37 years,Meath County Council,1731
7756,Female,37 years,Offaly County Council,598
7757,Female,37 years,Westmeath County Council,719
7758,Female,37 years,Wexford County Council,1175
7759,Female,37 years,Wicklow County Council,1191
7760,Female,37 years,Clare County Council,923
7761,Female,37 years,Cork City Council,1872
7762,Female,37 years,Cork County Council,2611
7763,Female,37 years,Kerry County Council,1122
7764,Female,37 years,Limerick City & County Council,1555
7765,Female,37 years,Tipperary County Council,1140
7766,Female,37 years,Waterford City & County Council,889
7767,Female,37 years,Galway City Council,657
7768,Female,37 years,Galway County Council,1354
7769,Female,37 years,Leitrim County Council,234
7770,Female,37 years,Mayo  County Council,973
7771,Female,37 years,Roscommon County Council,518
7772,Female,37 years,Sligo County Council,515
7773,Female,37 years,Cavan County Council,604
7774,Female,37 years,Donegal County Council,1115
7775,Female,37 years,Monaghan County Council,452
7776,Female,38 years,Ireland,40902
7777,Female,38 years,Carlow County Council,483
7778,Female,38 years,Dublin City Council,5053
7779,Female,38 years,Dún Laoghaire Rathdown County Council,1801
7780,Female,38 years,Fingal County Council,2926
7781,Female,38 years,South Dublin County Council,2511
7782,Female,38 years,Kildare County Council,2114
7783,Female,38 years,Kilkenny County Council,803
7784,Female,38 years,Laois County Council,820
7785,Female,38 years,Longford County Council,378
7786,Female,38 years,Louth County Council,1127
7787,Female,38 years,Meath County Council,1852
7788,Female,38 years,Offaly County Council,611
7789,Female,38 years,Westmeath County Council,794
7790,Female,38 years,Wexford County Council,1239
7791,Female,38 years,Wicklow County Council,1277
7792,Female,38 years,Clare County Council,955
7793,Female,38 years,Cork City Council,1737
7794,Female,38 years,Cork County Council,2723
7795,Female,38 years,Kerry County Council,1220
7796,Female,38 years,Limerick City & County Council,1594
7797,Female,38 years,Tipperary County Council,1194
7798,Female,38 years,Waterford City & County Council,954
7799,Female,38 years,Galway City Council,707
7800,Female,38 years,Galway County Council,1485
7801,Female,38 years,Leitrim County Council,252
7802,Female,38 years,Mayo  County Council,963
7803,Female,38 years,Roscommon County Council,513
7804,Female,38 years,Sligo County Council,523
7805,Female,38 years,Cavan County Council,684
7806,Female,38 years,Donegal County Council,1119
7807,Female,38 years,Monaghan County Council,490
7808,Female,39 years,Ireland,42592
7809,Female,39 years,Carlow County Council,553
7810,Female,39 years,Dublin City Council,4939
7811,Female,39 years,Dún Laoghaire Rathdown County Council,1878
7812,Female,39 years,Fingal County Council,3147
7813,Female,39 years,South Dublin County Council,2797
7814,Female,39 years,Kildare County Council,2246
7815,Female,39 years,Kilkenny County Council,832
7816,Female,39 years,Laois County Council,839
7817,Female,39 years,Longford County Council,388
7818,Female,39 years,Louth County Council,1092
7819,Female,39 years,Meath County Council,1858
7820,Female,39 years,Offaly County Council,668
7821,Female,39 years,Westmeath County Council,757
7822,Female,39 years,Wexford County Council,1230
7823,Female,39 years,Wicklow County Council,1336
7824,Female,39 years,Clare County Council,945
7825,Female,39 years,Cork City Council,1858
7826,Female,39 years,Cork County Council,3007
7827,Female,39 years,Kerry County Council,1229
7828,Female,39 years,Limerick City & County Council,1690
7829,Female,39 years,Tipperary County Council,1300
7830,Female,39 years,Waterford City & County Council,977
7831,Female,39 years,Galway City Council,747
7832,Female,39 years,Galway County Council,1534
7833,Female,39 years,Leitrim County Council,253
7834,Female,39 years,Mayo  County Council,1033
7835,Female,39 years,Roscommon County Council,509
7836,Female,39 years,Sligo County Council,514
7837,Female,39 years,Cavan County Council,656
7838,Female,39 years,Donegal County Council,1237
7839,Female,39 years,Monaghan County Council,543
7840,Female,40 years,Ireland,43143
7841,Female,40 years,Carlow County Council,487
7842,Female,40 years,Dublin City Council,4809
7843,Female,40 years,Dún Laoghaire Rathdown County Council,1910
7844,Female,40 years,Fingal County Council,3131
7845,Female,40 years,South Dublin County Council,2822
7846,Female,40 years,Kildare County Council,2276
7847,Female,40 years,Kilkenny County Council,776
7848,Female,40 years,Laois County Council,814
7849,Female,40 years,Longford County Council,409
7850,Female,40 years,Louth County Council,1170
7851,Female,40 years,Meath County Council,1927
7852,Female,40 years,Offaly County Council,706
7853,Female,40 years,Westmeath County Council,781
7854,Female,40 years,Wexford County Council,1347
7855,Female,40 years,Wicklow County Council,1400
7856,Female,40 years,Clare County Council,999
7857,Female,40 years,Cork City Council,1879
7858,Female,40 years,Cork County Council,3058
7859,Female,40 years,Kerry County Council,1239
7860,Female,40 years,Limerick City & County Council,1657
7861,Female,40 years,Tipperary County Council,1297
7862,Female,40 years,Waterford City & County Council,978
7863,Female,40 years,Galway City Council,687
7864,Female,40 years,Galway County Council,1652
7865,Female,40 years,Leitrim County Council,271
7866,Female,40 years,Mayo  County Council,1126
7867,Female,40 years,Roscommon County Council,556
7868,Female,40 years,Sligo County Council,538
7869,Female,40 years,Cavan County Council,630
7870,Female,40 years,Donegal County Council,1293
7871,Female,40 years,Monaghan County Council,518
7872,Female,41 years,Ireland,43696
7873,Female,41 years,Carlow County Council,537
7874,Female,41 years,Dublin City Council,4926
7875,Female,41 years,Dún Laoghaire Rathdown County Council,1944
